Time_solar,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour,Date - Time ,Time_wind,Air Density,Wind Speed ,Power Generation ,clearness_index_kt,wind_power_coefficient_cp,complementarity_index,total_renewable_power,renewable_capacity_factor,solar_efficiency,wind_power_per_speed,day_of_week,day_of_year,month,week_of_year,hour_sin,hour_cos,day_sin,day_cos,solar_lag_1,solar_lag_2,solar_lag_3,solar_lag_6,solar_lag_12,solar_lag_24,wind_lag_1,wind_lag_2,wind_lag_3,wind_lag_6,wind_lag_12,wind_lag_24,solar_rolling_mean_6h,solar_rolling_std_6h,wind_rolling_mean_6h,wind_rolling_std_6h,solar_rate_of_change,solar_volatility,wind_rate_of_change,wind_volatility,total_rate_of_change,total_volatility
1,6.224,0.007,0.0,0.0,0.0,2019-06-01 00:00:00,0.0,,1,1.164,5.884,1042.746,0.0,0.593,0.7542414286424809,1042.746,0.1259407851843621,0.0,177.21716906574287,5,152,6,22,0.0,1.0,0.5012418134457758,-0.865307254363206,,,,,,,,,,,,,0.0,,1042.746,,,,,,,
2,6.071,0.007,0.0,0.0,0.0,2019-06-01 01:00:00,1.0,,2,1.16,5.827,1013.124,0.0,0.593,0.7612228607465144,1013.124,0.1223630990184778,0.0,173.8671402321709,5,152,6,22,0.25881904510252074,0.9659258262890683,0.5012418134457758,-0.865307254363206,0.0,,,,,,1042.746,,,,,,0.0,0.0,1027.935,20.94591707230788,0.0,0.0,-29.62200000000007,29.62200000000007,-29.62200000000007,29.62200000000007
3,6.173,0.006,0.0,0.0,0.0,2019-06-01 02:00:00,2.0,,3,1.158,5.596,897.527,0.0,0.593,0.7884672266546215,897.527,0.10840152357732848,0.0,160.3872122253016,5,152,6,22,0.49999999999999994,0.8660254037844387,0.5012418134457758,-0.865307254363206,0.0,0.0,,,,,1013.124,1042.746,,,,,0.0,0.0,984.4656666666666,76.7340507358586,0.0,0.0,-115.59699999999998,115.59699999999998,-115.59699999999998,115.59699999999998
4,6.232,0.006,2.229,10.77,0.0,2019-06-01 03:00:00,3.0,,4,1.155,5.332,774.162,0.0,0.593,0.8175423860467653,774.162,0.0935017445666501,0.0,145.19164568798843,5,152,6,22,0.7071067811865476,0.7071067811865476,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,,,,897.527,1013.124,1042.746,,,,0.0,0.0,931.88975,122.40227836216931,0.0,0.0,-123.36500000000001,123.36500000000001,-123.36500000000001,123.36500000000001
5,7.108,0.007,49.79,158.093,123.096,2019-06-01 04:00:00,4.0,,5,1.153,4.945,610.292,0.0,0.593,0.8866582631889163,733.388,0.08857714205069014,1.0,123.41595077533856,5,152,6,22,0.8660254037844386,0.5000000000000001,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,,,,774.162,897.527,1013.124,,,,24.6192,55.05020475166282,867.5702000000001,178.66661935627477,123.096,123.096,-163.87,163.87,-40.774,40.774
6,8.329,0.007,157.026,371.105,414.23,2019-06-01 05:00:00,5.0,,6,1.152,3.503,175.843,0.0,0.593,0.9388269805815844,590.073,0.07126784177171822,1.0,50.19781610110873,5,152,6,22,0.9659258262890683,0.25881904510252074,0.5012418134457758,-0.865307254363206,123.096,0.0,0.0,,,,610.292,774.162,897.527,,,,89.55433333333333,166.5048025753812,752.2823333333334,324.4767509407518,291.134,291.134,-434.44900000000007,434.44900000000007,-143.31500000000005,143.31500000000005
7,10.444,0.007,308.848,583.704,1259.843,2019-06-01 06:00:00,6.0,,7,1.151,2.863,68.288,0.0,0.593,0.7039958958766184,1328.131,0.16040901712180342,1.0,23.851895266540247,5,152,6,22,1.0,6.123233995736766e-17,0.5012418134457758,-0.865307254363206,414.23,123.096,0.0,0.0,,,175.843,610.292,774.162,1042.746,,,299.52816666666666,497.119858184087,589.8726666666668,387.72245664220515,845.613,845.613,-107.55499999999999,107.55499999999999,738.0580000000001,738.0580000000001
8,13.464,0.007,463.889,781.357,2463.576,2019-06-01 07:00:00,7.0,,8,1.15,4.67,506.351,1.0,0.593,0.5090418739292129,2969.927,0.3587018682596116,1.0,108.42631511213808,5,152,6,22,0.9659258262890683,-0.25881904510252063,0.5012418134457758,-0.865307254363206,1259.843,414.23,123.096,0.0,,,68.288,175.843,610.292,1013.124,,,710.1241666666666,981.5795656019775,505.41049999999996,327.6200692782723,1203.733,1203.733,438.063,438.063,1641.796,1641.796
9,15.554,0.006,587.988,950.638,3269.984,2019-06-01 08:00:00,8.0,,9,1.151,6.064,1139.637,0.8602604230281489,0.593,0.4585273554740015,4409.621,0.5325852423365345,1.0,187.93483048568098,5,152,6,22,0.8660254037844387,-0.4999999999999998,0.5012418134457758,-0.865307254363206,2463.576,1259.843,414.23,0.0,,,506.351,68.288,175.843,897.527,,,1255.1215,1347.8846903369367,545.7621666666666,393.8001804679203,806.4079999999999,806.4079999999999,633.286,633.286,1439.694,1439.694
10,16.779,0.006,667.27,1079.979,3523.963,2019-06-01 09:00:00,9.0,,10,1.152,6.561,1427.225,0.6903162273507245,0.593,0.4633895205661954,4951.188,0.5979946260310673,1.0,217.53159312123256,5,152,6,22,0.7071067811865476,-0.7071067811865475,0.5012418134457758,-0.865307254363206,3269.984,2463.576,1259.843,0.0,,,1139.637,506.351,68.288,774.162,,,1842.4486666666664,1455.098502532068,654.606,534.6253404087762,253.97900000000027,253.97900000000027,287.58799999999997,287.58799999999997,541.567,541.567
