Time,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour
1,6.224,0.007,0.0,0.0,0.0,2019-06-01 00:00:00,0
2,6.071,0.007,0.0,0.0,0.0,2019-06-01 01:00:00,1
3,6.173,0.006,0.0,0.0,0.0,2019-06-01 02:00:00,2
4,6.232,0.006,2.229,10.77,0.0,2019-06-01 03:00:00,3
5,7.108,0.007,49.79,158.093,123.096,2019-06-01 04:00:00,4
6,8.329,0.007,157.026,371.105,414.23,2019-06-01 05:00:00,5
7,10.444,0.007,308.848,583.704,1259.843,2019-06-01 06:00:00,6
8,13.464,0.007,463.889,781.357,2463.576,2019-06-01 07:00:00,7
9,15.554,0.006,587.988,950.638,3269.984,2019-06-01 08:00:00,8
10,16.779,0.006,667.27,1079.979,3523.963,2019-06-01 09:00:00,9
11,17.679,0.006,697.486,1160.613,3577.048,2019-06-01 10:00:00,10
12,18.161,0.006,690.683,1187.036,3417.618,2019-06-01 11:00:00,11
13,18.427,0.006,656.784,1157.468,3234.215,2019-06-01 12:00:00,12
14,18.546,0.006,591.716,1073.917,3046.396,2019-06-01 13:00:00,13
15,18.388,0.006,490.91,942.139,2610.458,2019-06-01 14:00:00,14
16,17.722,0.007,374.816,771.054,1546.145,2019-06-01 15:00:00,15
17,16.75,0.007,260.422,572.392,716.79,2019-06-01 16:00:00,16
18,15.777,0.008,146.29,359.662,674.14,2019-06-01 17:00:00,17
19,13.277,0.008,47.528,147.991,334.938,2019-06-01 18:00:00,18
20,11.308,0.007,3.465,14.224,0.0,2019-06-01 19:00:00,19
21,11.14,0.007,0.0,0.002,0.0,2019-06-01 20:00:00,20
22,10.346,0.007,0.0,0.0,0.0,2019-06-01 21:00:00,21
23,9.663,0.007,0.0,0.0,0.0,2019-06-01 22:00:00,22
24,9.58,0.007,0.0,0.0,0.0,2019-06-01 23:00:00,23
25,9.353,0.007,0.0,0.0,0.0,2019-06-02 00:00:00,0
26,9.248,0.007,0.0,0.0,0.0,2019-06-02 01:00:00,1
27,9.366,0.007,0.0,0.0,0.0,2019-06-02 02:00:00,2
28,9.291,0.007,2.024,11.517,0.0,2019-06-02 03:00:00,3
29,9.447,0.007,49.723,160.468,252.435,2019-06-02 04:00:00,4
30,10.556,0.007,158.877,373.213,1061.822,2019-06-02 05:00:00,5
31,12.594,0.008,308.57,585.527,2672.863,2019-06-02 06:00:00,6
32,15.258,0.008,461.931,782.934,3327.424,2019-06-02 07:00:00,7
33,17.332,0.008,597.906,951.989,3565.182,2019-06-02 08:00:00,8
34,18.7,0.008,701.659,1081.165,3606.945,2019-06-02 09:00:00,9
