Date - Time ,Time,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW)
2019-03-01 00:00:00,1,-8.083,0.002,0.0,0.0,0.0
2019-03-01 01:00:00,2,-8.324,0.002,0.0,0.0,0.0
2019-03-01 02:00:00,3,-8.261,0.002,0.0,0.0,0.0
2019-03-01 03:00:00,4,-8.036,0.002,0.0,0.0,0.0
2019-03-01 04:00:00,5,-8.291,0.002,0.0,0.0,0.0
2019-03-01 05:00:00,6,-8.859,0.002,0.408,1.828,0.0
2019-03-01 06:00:00,7,-8.852,0.002,39.952,106.569,762.495
2019-03-01 07:00:00,8,-6.058,0.002,166.619,322.632,1947.657
2019-03-01 08:00:00,9,-3.166,0.002,318.431,512.087,3178.949
2019-03-01 09:00:00,10,-0.677,0.002,450.461,656.924,3645.347
2019-03-01 10:00:00,11,0.617,0.002,535.434,747.324,3771.749
2019-03-01 11:00:00,12,1.204,0.002,547.181,777.102,3806.537
2019-03-01 12:00:00,13,1.498,0.002,514.879,744.303,3831.06
2019-03-01 13:00:00,14,1.501,0.002,442.871,651.12,3649.843
2019-03-01 14:00:00,15,1.134,0.002,329.011,503.958,3225.598
2019-03-01 15:00:00,16,0.182,0.002,183.507,312.85,2361.691
2019-03-01 16:00:00,17,-3.08,0.002,43.72,95.739,720.882
2019-03-01 17:00:00,18,-6.011,0.002,0.112,0.464,0.0
2019-03-01 18:00:00,19,-7.035,0.002,0.0,0.0,0.0
2019-03-01 19:00:00,20,-7.879,0.002,0.0,0.0,0.0
2019-03-01 20:00:00,21,-8.616,0.002,0.0,0.0,0.0
2019-03-01 21:00:00,22,-9.25,0.002,0.0,0.0,0.0
2019-03-01 22:00:00,23,-9.54,0.002,0.0,0.0,0.0
2019-03-01 23:00:00,24,-9.674,0.002,0.0,0.0,0.0
2019-03-02 00:00:00,25,-9.752,0.002,0.0,0.0,0.0
2019-03-02 01:00:00,26,-10.048,0.002,0.0,0.0,0.0
2019-03-02 02:00:00,27,-10.397,0.002,0.0,0.0,0.0
2019-03-02 03:00:00,28,-10.589,0.002,0.0,0.0,0.0
2019-03-02 04:00:00,29,-10.796,0.002,0.0,0.0,0.0
2019-03-02 05:00:00,30,-11.148,0.002,0.626,2.301,0.0
2019-03-02 06:00:00,31,-9.868,0.002,48.84,112.536,1813.39
2019-03-02 07:00:00,32,-5.409,0.002,180.449,329.608,2724.564
2019-03-02 08:00:00,33,-2.236,0.002,320.161,519.136,3056.053
2019-03-02 09:00:00,34,0.914,0.002,432.343,664.04,3189.002
2019-03-02 10:00:00,35,2.894,0.002,497.883,754.46,2959.622
2019-03-02 11:00:00,36,4.055,0.002,508.139,784.26,2728.797
2019-03-02 12:00:00,37,4.601,0.002,459.765,751.454,2044.222
2019-03-02 13:00:00,38,4.554,0.002,368.846,658.229,1280.288
2019-03-02 14:00:00,39,3.908,0.003,251.167,511.002,729.565
2019-03-02 15:00:00,40,2.185,0.003,132.093,319.819,282.732
2019-03-02 16:00:00,41,0.259,0.003,33.417,101.762,29.295
2019-03-02 17:00:00,42,-0.573,0.003,0.168,0.692,0.0
2019-03-02 18:00:00,43,-1.017,0.003,0.0,0.0,0.0
2019-03-02 19:00:00,44,-1.875,0.003,0.0,0.0,0.0
2019-03-02 20:00:00,45,-2.799,0.003,0.0,0.0,0.0
2019-03-02 21:00:00,46,-3.848,0.002,0.0,0.0,0.0
2019-03-02 22:00:00,47,-4.742,0.002,0.0,0.0,0.0
2019-03-02 23:00:00,48,-5.571,0.002,0.0,0.0,0.0
2019-03-03 00:00:00,49,-6.392,0.002,0.0,0.0,0.0
2019-03-03 01:00:00,50,-7.209,0.002,0.0,0.0,0.0
2019-03-03 02:00:00,51,-7.715,0.002,0.0,0.0,0.0
2019-03-03 03:00:00,52,-8.024,0.002,0.0,0.0,0.0
2019-03-03 04:00:00,53,-8.318,0.002,0.0,0.0,0.0
2019-03-03 05:00:00,54,-8.837,0.002,0.544,2.855,0.0
2019-03-03 06:00:00,55,-7.981,0.002,45.271,118.637,1500.084
2019-03-03 07:00:00,56,-4.979,0.002,177.716,336.589,2505.75
2019-03-03 08:00:00,57,-2.11,0.002,333.503,526.194,3558.405
2019-03-03 09:00:00,58,1.461,0.002,461.808,671.15,3854.448
2019-03-03 10:00:00,59,3.544,0.002,540.294,761.614,3957.306
2019-03-03 11:00:00,60,4.542,0.002,557.697,791.422,3951.489
2019-03-03 12:00:00,61,4.987,0.002,523.8,758.572,3884.882
2019-03-03 13:00:00,62,4.964,0.002,447.626,665.337,3660.496
2019-03-03 14:00:00,63,4.566,0.003,328.977,518.056,3212.579
2019-03-03 15:00:00,64,3.086,0.003,182.027,326.803,2314.281
2019-03-03 16:00:00,65,1.102,0.003,45.659,107.93,687.083
2019-03-03 17:00:00,66,0.594,0.002,0.231,0.998,0.0
2019-03-03 18:00:00,67,0.443,0.002,0.0,0.0,0.0
2019-03-03 19:00:00,68,0.073,0.002,0.0,0.0,0.0
2019-03-03 20:00:00,69,-0.491,0.002,0.0,0.0,0.0
2019-03-03 21:00:00,70,-1.038,0.002,0.0,0.0,0.0
2019-03-03 22:00:00,71,-1.529,0.002,0.0,0.0,0.0
2019-03-03 23:00:00,72,-2.016,0.002,0.0,0.0,0.0
2019-03-04 00:00:00,73,-2.487,0.002,0.0,0.0,0.0
2019-03-04 01:00:00,74,-2.858,0.002,0.0,0.0,0.0
2019-03-04 02:00:00,75,-3.156,0.002,0.0,0.0,0.0
2019-03-04 03:00:00,76,-3.441,0.002,0.0,0.0,0.0
2019-03-04 04:00:00,77,-3.682,0.002,0.0,0.0,0.0
2019-03-04 05:00:00,78,-3.819,0.002,0.874,3.5,0.0
2019-03-04 06:00:00,79,-3.53,0.002,48.84,124.867,1479.099
2019-03-04 07:00:00,80,-1.862,0.002,177.809,343.584,2381.034
2019-03-04 08:00:00,81,1.065,0.002,327.743,533.242,3365.86
2019-03-04 09:00:00,82,4.214,0.002,448.896,678.246,3794.923
2019-03-04 10:00:00,83,5.718,0.002,521.776,768.741,3927.02
2019-03-04 11:00:00,84,6.598,0.002,540.382,798.558,3914.225
2019-03-04 12:00:00,85,7.002,0.002,504.751,765.7,3836.62
2019-03-04 13:00:00,86,6.945,0.002,419.799,672.435,3621.529
2019-03-04 14:00:00,87,6.426,0.003,295.664,525.107,3097.467
2019-03-04 15:00:00,88,5.062,0.003,161.222,333.794,2154.531
2019-03-04 16:00:00,89,3.291,0.003,40.981,114.225,592.933
2019-03-04 17:00:00,90,2.33,0.002,0.277,1.392,0.0
2019-03-04 18:00:00,91,1.853,0.002,0.0,0.0,0.0
2019-03-04 19:00:00,92,1.544,0.002,0.0,0.0,0.0
2019-03-04 20:00:00,93,1.486,0.002,0.0,0.0,0.0
2019-03-04 21:00:00,94,1.529,0.002,0.0,0.0,0.0
2019-03-04 22:00:00,95,1.434,0.002,0.0,0.0,0.0
2019-03-04 23:00:00,96,1.084,0.002,0.0,0.0,0.0
2019-03-05 00:00:00,97,0.688,0.002,0.0,0.0,0.0
2019-03-05 01:00:00,98,0.345,0.002,0.0,0.0,0.0
2019-03-05 02:00:00,99,-0.083,0.002,0.0,0.0,0.0
2019-03-05 03:00:00,100,-0.529,0.002,0.0,0.0,0.0
2019-03-05 04:00:00,101,-1.133,0.002,0.0,0.0,0.0
2019-03-05 05:00:00,102,-1.953,0.002,0.935,4.242,0.0
2019-03-05 06:00:00,103,-2.703,0.002,36.43,131.215,238.623
2019-03-05 07:00:00,104,-1.87,0.002,129.205,350.586,620.584
2019-03-05 08:00:00,105,-0.21,0.002,237.792,540.295,977.503
2019-03-05 09:00:00,106,1.945,0.002,326.692,685.341,1314.547
2019-03-05 10:00:00,107,3.816,0.002,383.793,775.859,1406.578
2019-03-05 11:00:00,108,4.331,0.002,402.254,805.688,1550.341
2019-03-05 12:00:00,109,4.029,0.002,384.028,772.818,903.774
2019-03-05 13:00:00,110,3.355,0.002,330.505,679.517,594.264
2019-03-05 14:00:00,111,2.523,0.003,247.479,532.15,359.772
2019-03-05 15:00:00,112,1.454,0.003,142.239,340.79,185.858
2019-03-05 16:00:00,113,0.164,0.002,41.264,120.631,29.289
2019-03-05 17:00:00,114,-0.954,0.002,0.426,1.891,0.0
2019-03-05 18:00:00,115,-1.333,0.002,0.0,0.0,0.0
2019-03-05 19:00:00,116,-1.622,0.002,0.0,0.0,0.0
2019-03-05 20:00:00,117,-2.32,0.002,0.0,0.0,0.0
2019-03-05 21:00:00,118,-3.114,0.002,0.0,0.0,0.0
2019-03-05 22:00:00,119,-4.028,0.002,0.0,0.0,0.0
2019-03-05 23:00:00,120,-5.211,0.002,0.0,0.0,0.0
2019-03-06 00:00:00,121,-6.602,0.002,0.0,0.0,0.0
2019-03-06 01:00:00,122,-7.984,0.002,0.0,0.0,0.0
2019-03-06 02:00:00,123,-9.174,0.002,0.0,0.0,0.0
2019-03-06 03:00:00,124,-10.263,0.002,0.0,0.0,0.0
2019-03-06 04:00:00,125,-11.143,0.002,0.0,0.0,0.0
2019-03-06 05:00:00,126,-11.659,0.002,1.299,5.09,0.0
2019-03-06 06:00:00,127,-10.991,0.002,63.313,137.67,1494.065
2019-03-06 07:00:00,128,-8.784,0.002,224.012,357.587,3268.052
2019-03-06 08:00:00,129,-6.079,0.002,389.043,547.334,4210.606
2019-03-06 09:00:00,130,-3.468,0.002,521.566,692.426,4363.088
2019-03-06 10:00:00,131,-1.509,0.002,604.684,782.955,4379.374
2019-03-06 11:00:00,132,-0.159,0.002,633.608,812.787,4238.658
2019-03-06 12:00:00,133,0.612,0.002,604.89,779.918,4191.274
2019-03-06 13:00:00,134,0.894,0.002,521.669,686.604,3953.338
2019-03-06 14:00:00,135,0.665,0.002,391.859,539.19,3522.097
2019-03-06 15:00:00,136,-0.13,0.002,229.766,347.793,2680.447
2019-03-06 16:00:00,137,-2.607,0.002,67.427,127.134,999.61
2019-03-06 17:00:00,138,-5.805,0.002,0.773,2.508,0.0
2019-03-06 18:00:00,139,-6.751,0.002,0.0,0.0,0.0
2019-03-06 19:00:00,140,-7.504,0.002,0.0,0.0,0.0
2019-03-06 20:00:00,141,-8.136,0.002,0.0,0.0,0.0
2019-03-06 21:00:00,142,-8.768,0.002,0.0,0.0,0.0
2019-03-06 22:00:00,143,-9.342,0.002,0.0,0.0,0.0
2019-03-06 23:00:00,144,-9.826,0.002,0.0,0.0,0.0
2019-03-07 00:00:00,145,-10.168,0.002,0.0,0.0,0.0
2019-03-07 01:00:00,146,-10.263,0.002,0.0,0.0,0.0
2019-03-07 02:00:00,147,-10.375,0.002,0.0,0.0,0.0
2019-03-07 03:00:00,148,-10.475,0.002,0.0,0.0,0.0
2019-03-07 04:00:00,149,-10.678,0.002,0.0,0.0,0.0
2019-03-07 05:00:00,150,-10.749,0.002,1.827,6.052,21.398
2019-03-07 06:00:00,151,-9.353,0.002,71.688,144.227,2508.238
2019-03-07 07:00:00,152,-5.701,0.002,231.649,364.591,3628.185
2019-03-07 08:00:00,153,-2.296,0.002,396.675,554.374,4074.976
2019-03-07 09:00:00,154,0.585,0.002,524.511,699.473,4243.314
2019-03-07 10:00:00,155,2.037,0.002,604.479,790.027,4286.429
2019-03-07 11:00:00,156,3.071,0.002,635.408,819.853,4157.389
2019-03-07 12:00:00,157,3.768,0.002,606.39,786.991,4123.221
2019-03-07 13:00:00,158,4.013,0.002,524.625,693.654,3899.45
2019-03-07 14:00:00,159,3.757,0.002,394.313,546.227,3481.646
2019-03-07 15:00:00,160,2.776,0.002,232.055,354.795,2612.509
2019-03-07 16:00:00,161,-0.684,0.003,69.966,133.724,906.312
2019-03-07 17:00:00,162,-3.155,0.002,1.037,3.252,0.0
2019-03-07 18:00:00,163,-3.991,0.002,0.0,0.0,0.0
2019-03-07 19:00:00,164,-4.893,0.002,0.0,0.0,0.0
2019-03-07 20:00:00,165,-5.673,0.002,0.0,0.0,0.0
2019-03-07 21:00:00,166,-6.454,0.002,0.0,0.0,0.0
2019-03-07 22:00:00,167,-7.171,0.002,0.0,0.0,0.0
2019-03-07 23:00:00,168,-7.694,0.002,0.0,0.0,0.0
2019-03-08 00:00:00,169,-8.072,0.002,0.0,0.0,0.0
2019-03-08 01:00:00,170,-8.19,0.002,0.0,0.0,0.0
2019-03-08 02:00:00,171,-8.474,0.002,0.0,0.0,0.0
2019-03-08 03:00:00,172,-8.893,0.002,0.0,0.0,0.0
2019-03-08 04:00:00,173,-9.431,0.002,0.0,0.0,0.0
2019-03-08 05:00:00,174,-9.85,0.002,2.452,7.136,11.025
2019-03-08 06:00:00,175,-7.986,0.002,74.845,150.873,2377.201
2019-03-08 07:00:00,176,-3.409,0.002,214.294,371.596,3465.339
2019-03-08 08:00:00,177,-0.146,0.002,345.356,561.406,3766.668
2019-03-08 09:00:00,178,3.091,0.002,445.102,706.526,3973.212
2019-03-08 10:00:00,179,4.812,0.002,502.876,797.083,3788.213
2019-03-08 11:00:00,180,5.717,0.002,513.773,826.925,3276.2
2019-03-08 12:00:00,181,6.081,0.002,475.789,794.045,2636.488
2019-03-08 13:00:00,182,5.968,0.002,395.01,700.703,1971.016
2019-03-08 14:00:00,183,5.168,0.003,284.308,553.248,1075.733
2019-03-08 15:00:00,184,3.448,0.003,157.983,361.792,513.202
2019-03-08 16:00:00,185,1.197,0.003,45.822,140.385,207.17
2019-03-08 17:00:00,186,-0.831,0.003,0.849,4.133,0.0
2019-03-08 18:00:00,187,-0.776,0.003,0.0,0.0,0.0
2019-03-08 19:00:00,188,-0.507,0.003,0.0,0.0,0.0
2019-03-08 20:00:00,189,-0.593,0.003,0.0,0.0,0.0
2019-03-08 21:00:00,190,-1.064,0.003,0.0,0.0,0.0
2019-03-08 22:00:00,191,-1.361,0.003,0.0,0.0,0.0
2019-03-08 23:00:00,192,-1.809,0.003,0.0,0.0,0.0
2019-03-09 00:00:00,193,-2.22,0.003,0.0,0.0,0.0
2019-03-09 01:00:00,194,-2.477,0.002,0.0,0.0,0.0
2019-03-09 02:00:00,195,-3.073,0.002,0.0,0.0,0.0
2019-03-09 03:00:00,196,-3.531,0.002,0.0,0.0,0.0
2019-03-09 04:00:00,197,-4.038,0.002,0.0,0.0,0.0
2019-03-09 05:00:00,198,-4.263,0.002,1.422,8.353,0.0
2019-03-09 06:00:00,199,-4.386,0.002,61.571,157.593,532.374
2019-03-09 07:00:00,200,-3.684,0.002,210.206,378.592,2431.643
2019-03-09 08:00:00,201,-2.571,0.002,369.281,568.416,3586.197
2019-03-09 09:00:00,202,-1.527,0.002,506.378,713.563,3849.216
2019-03-09 10:00:00,203,-0.492,0.002,594.108,804.114,4007.064
2019-03-09 11:00:00,204,0.425,0.002,628.431,833.965,4011.312
2019-03-09 12:00:00,205,1.06,0.002,611.064,801.067,4062.867
2019-03-09 13:00:00,206,1.369,0.002,535.772,707.718,4049.905
2019-03-09 14:00:00,207,1.117,0.002,409.748,560.259,3676.181
2019-03-09 15:00:00,208,0.249,0.002,250.229,368.783,2952.456
2019-03-09 16:00:00,209,-1.487,0.002,83.791,147.113,1379.042
2019-03-09 17:00:00,210,-4.359,0.002,1.901,5.159,0.0
2019-03-09 18:00:00,211,-5.884,0.002,0.0,0.0,0.0
2019-03-09 19:00:00,212,-6.977,0.002,0.0,0.0,0.0
2019-03-09 20:00:00,213,-7.956,0.002,0.0,0.0,0.0
2019-03-09 21:00:00,214,-8.792,0.002,0.0,0.0,0.0
2019-03-09 22:00:00,215,-9.428,0.002,0.0,0.0,0.0
2019-03-09 23:00:00,216,-9.772,0.002,0.0,0.0,0.0
2019-03-10 00:00:00,217,-10.071,0.002,0.0,0.0,0.0
2019-03-10 01:00:00,218,-10.282,0.002,0.0,0.0,0.0
2019-03-10 02:00:00,219,-10.438,0.002,0.0,0.0,0.0
2019-03-10 03:00:00,220,-10.708,0.002,0.0,0.0,0.0
2019-03-10 04:00:00,221,-11.206,0.002,0.0,0.0,0.0
2019-03-10 05:00:00,222,-11.727,0.002,3.839,9.713,43.04
