Time_solar,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour,Date - Time ,Time_wind,Air Density,Wind Speed ,Power Generation 
1,6.224,0.007,0.0,0.0,0.0,2019-06-01 00:00:00,0.0,,1,1.164,5.884,1042.746
2,6.071,0.007,0.0,0.0,0.0,2019-06-01 01:00:00,1.0,,2,1.16,5.827,1013.124
3,6.173,0.006,0.0,0.0,0.0,2019-06-01 02:00:00,2.0,,3,1.158,5.596,897.527
4,6.232,0.006,2.229,10.77,0.0,2019-06-01 03:00:00,3.0,,4,1.155,5.332,774.162
5,7.108,0.007,49.79,158.093,123.096,2019-06-01 04:00:00,4.0,,5,1.153,4.945,610.292
6,8.329,0.007,157.026,371.105,414.23,2019-06-01 05:00:00,5.0,,6,1.152,3.503,175.843
7,10.444,0.007,308.848,583.704,1259.843,2019-06-01 06:00:00,6.0,,7,1.151,2.863,68.288
8,13.464,0.007,463.889,781.357,2463.576,2019-06-01 07:00:00,7.0,,8,1.15,4.67,506.351
9,15.554,0.006,587.988,950.638,3269.984,2019-06-01 08:00:00,8.0,,9,1.151,6.064,1139.637
10,16.779,0.006,667.27,1079.979,3523.963,2019-06-01 09:00:00,9.0,,10,1.152,6.561,1427.225
11,17.679,0.006,697.486,1160.613,3577.048,2019-06-01 10:00:00,10.0,,11,1.155,6.671,1499.74
12,18.161,0.006,690.683,1187.036,3417.618,2019-06-01 11:00:00,11.0,,12,1.158,6.812,1582.685
13,18.427,0.006,656.784,1157.468,3234.215,2019-06-01 12:00:00,12.0,,13,1.161,6.824,1593.342
14,18.546,0.006,591.716,1073.917,3046.396,2019-06-01 13:00:00,13.0,,14,1.164,6.737,1541.439
15,18.388,0.006,490.91,942.139,2610.458,2019-06-01 14:00:00,14.0,,15,1.167,6.437,1356.278
16,17.722,0.007,374.816,771.054,1546.145,2019-06-01 15:00:00,15.0,,16,1.17,5.664,930.716
17,16.75,0.007,260.422,572.392,716.79,2019-06-01 16:00:00,16.0,,17,1.173,4.813,561.614
18,15.777,0.008,146.29,359.662,674.14,2019-06-01 17:00:00,17.0,,18,1.175,4.665,506.234
19,13.277,0.008,47.528,147.991,334.938,2019-06-01 18:00:00,18.0,,19,1.177,4.577,473.637
20,11.308,0.007,3.465,14.224,0.0,2019-06-01 19:00:00,19.0,,20,1.179,2.859,67.803
21,11.14,0.007,0.0,0.002,0.0,2019-06-01 20:00:00,20.0,,21,1.18,3.666,210.35
22,10.346,0.007,0.0,0.0,0.0,2019-06-01 21:00:00,21.0,,22,1.18,7.117,1783.851
23,9.663,0.007,0.0,0.0,0.0,2019-06-01 22:00:00,22.0,,23,1.174,8.248,2551.613
24,9.58,0.007,0.0,0.0,0.0,2019-06-01 23:00:00,23.0,,24,1.167,8.724,2871.287
25,9.353,0.007,0.0,0.0,0.0,2019-06-02 00:00:00,0.0,,25,1.16,8.961,3025.921
26,9.248,0.007,0.0,0.0,0.0,2019-06-02 01:00:00,1.0,,26,1.154,9.299,3237.726
27,9.366,0.007,0.0,0.0,0.0,2019-06-02 02:00:00,2.0,,27,1.15,9.05,3088.771
28,9.291,0.007,2.024,11.517,0.0,2019-06-02 03:00:00,3.0,,28,1.148,8.785,2914.937
29,9.447,0.007,49.723,160.468,252.435,2019-06-02 04:00:00,4.0,,29,1.146,8.216,2528.304
30,10.556,0.007,158.877,373.213,1061.822,2019-06-02 05:00:00,5.0,,30,1.145,6.432,1351.048
31,12.594,0.008,308.57,585.527,2672.863,2019-06-02 06:00:00,6.0,,31,1.145,7.801,2242.944
32,15.258,0.008,461.931,782.934,3327.424,2019-06-02 07:00:00,7.0,,32,1.145,8.086,2441.735
33,17.332,0.008,597.906,951.989,3565.182,2019-06-02 08:00:00,8.0,,33,1.147,8.25,2552.075
34,18.7,0.008,701.659,1081.165,3606.945,2019-06-02 09:00:00,9.0,,34,1.15,8.744,2888.618
35,19.449,0.008,760.515,1161.68,3642.581,2019-06-02 10:00:00,10.0,,35,1.153,9.151,3152.359
36,19.584,0.008,772.469,1188.057,3571.898,2019-06-02 11:00:00,11.0,,36,1.157,9.501,3359.638
37,19.349,0.008,731.012,1158.535,3469.284,2019-06-02 12:00:00,12.0,,37,1.161,9.585,3410.978
38,19.029,0.008,652.787,1075.119,3319.971,2019-06-02 13:00:00,13.0,,38,1.165,9.416,3312.673
39,18.349,0.008,540.15,943.481,2825.412,2019-06-02 14:00:00,14.0,,39,1.168,9.108,3119.522
40,17.416,0.008,406.755,772.621,2367.504,2019-06-02 15:00:00,15.0,,40,1.171,8.478,2706.893
41,16.11,0.008,278.148,574.192,1300.726,2019-06-02 16:00:00,16.0,,41,1.174,7.745,2207.533
42,14.723,0.009,161.715,361.742,695.207,2019-06-02 17:00:00,17.0,,42,1.176,6.572,1434.38
