Time,Air Density,Wind Speed ,Power Generation ,timestamp
1,1.164,5.884,1042.746,2019-06-01 00:00:00
2,1.16,5.827,1013.124,2019-06-01 01:00:00
3,1.158,5.596,897.527,2019-06-01 02:00:00
4,1.155,5.332,774.162,2019-06-01 03:00:00
5,1.153,4.945,610.292,2019-06-01 04:00:00
6,1.152,3.503,175.843,2019-06-01 05:00:00
7,1.151,2.863,68.288,2019-06-01 06:00:00
8,1.15,4.67,506.351,2019-06-01 07:00:00
9,1.151,6.064,1139.637,2019-06-01 08:00:00
10,1.152,6.561,1427.225,2019-06-01 09:00:00
11,1.155,6.671,1499.74,2019-06-01 10:00:00
12,1.158,6.812,1582.685,2019-06-01 11:00:00
13,1.161,6.824,1593.342,2019-06-01 12:00:00
14,1.164,6.737,1541.439,2019-06-01 13:00:00
15,1.167,6.437,1356.278,2019-06-01 14:00:00
16,1.17,5.664,930.716,2019-06-01 15:00:00
17,1.173,4.813,561.614,2019-06-01 16:00:00
18,1.175,4.665,506.234,2019-06-01 17:00:00
19,1.177,4.577,473.637,2019-06-01 18:00:00
20,1.179,2.859,67.803,2019-06-01 19:00:00
21,1.18,3.666,210.35,2019-06-01 20:00:00
22,1.18,7.117,1783.851,2019-06-01 21:00:00
23,1.174,8.248,2551.613,2019-06-01 22:00:00
24,1.167,8.724,2871.287,2019-06-01 23:00:00
25,1.16,8.961,3025.921,2019-06-02 00:00:00
26,1.154,9.299,3237.726,2019-06-02 01:00:00
27,1.15,9.05,3088.771,2019-06-02 02:00:00
28,1.148,8.785,2914.937,2019-06-02 03:00:00
29,1.146,8.216,2528.304,2019-06-02 04:00:00
30,1.145,6.432,1351.048,2019-06-02 05:00:00
31,1.145,7.801,2242.944,2019-06-02 06:00:00
32,1.145,8.086,2441.735,2019-06-02 07:00:00
33,1.147,8.25,2552.075,2019-06-02 08:00:00
34,1.15,8.744,2888.618,2019-06-02 09:00:00
35,1.153,9.151,3152.359,2019-06-02 10:00:00
36,1.157,9.501,3359.638,2019-06-02 11:00:00
37,1.161,9.585,3410.978,2019-06-02 12:00:00
38,1.165,9.416,3312.673,2019-06-02 13:00:00
39,1.168,9.108,3119.522,2019-06-02 14:00:00
40,1.171,8.478,2706.893,2019-06-02 15:00:00
41,1.174,7.745,2207.533,2019-06-02 16:00:00
42,1.176,6.572,1434.38,2019-06-02 17:00:00
43,1.179,6.529,1407.394,2019-06-02 18:00:00
44,1.181,7.336,1928.224,2019-06-02 19:00:00
45,1.183,7.373,1955.092,2019-06-02 20:00:00
46,1.183,7.088,1762.038,2019-06-02 21:00:00
47,1.177,7.015,1716.183,2019-06-02 22:00:00
48,1.167,6.726,1532.822,2019-06-02 23:00:00
49,1.161,5.997,1102.983,2019-06-03 00:00:00
